"";"ANO";"NIVEL";"CODMUNRES";"POPRE_T";"POPRC_T";"POPRC_M";"POPRC_F";"POPRC_15";"POPRC_15_49";"POPRC_50";"POPRC_F_15";"POPRC_F_15_49";"POPRC_F_50"
"107";2015;"MUNICIPIO";"4305405";4061;4044;1975;2069;864;2030;1150;457;1014;598
"108";2015;"MUNICIPIO";"4305439";6368;5917;2921;2996;1505;3059;1353;732;1577;687
"109";2015;"MUNICIPIO";"4305447";5264;4944;2603;2341;1207;2704;1033;564;1274;NA
"110";2015;"MUNICIPIO";"4305454";14301;12668;6245;6423;2893;5584;4191;1384;2848;2191
"111";2015;"MUNICIPIO";"4305504";5005;4922;2512;2410;917;2444;1561;457;1161;792
"112";2015;"MUNICIPIO";"4305587";2498;2420;1208;1212;324;1129;967;156;552;NA
"113";2015;"MUNICIPIO";"4305603";3522;3550;1727;1823;558;1763;1229;264;878;NA
"114";2015;"MUNICIPIO";"4305702";6815;6552;3219;3333;1422;3335;1795;723;1663;NA
"115";2015;"MUNICIPIO";"4305801";10094;9752;4776;4976;1967;5036;2749;1007;2523;1446
"116";2015;"MUNICIPIO";"4305835";1562;1528;791;737;210;616;702;102;276;NA
"117";2015;"MUNICIPIO";"4305850";2476;2457;1255;1202;459;1147;851;228;551;NA
"118";2015;"MUNICIPIO";"4305871";2553;2459;1219;1240;395;1187;877;201;576;463
"119";2015;"MUNICIPIO";"4305900";7827;7748;3802;3946;1783;3874;2091;868;1987;1091
"120";2015;"MUNICIPIO";"4305934";1740;1725;894;831;264;734;727;136;331;NA
"121";2015;"MUNICIPIO";"4305959";4009;3917;2033;1884;553;1931;1433;265;867;752
"122";2015;"MUNICIPIO";"4305975";2885;2826;1388;1438;624;1516;686;331;769;NA
"123";2015;"MUNICIPIO";"4306007";14273;14084;6913;7171;2669;6799;4616;1321;3353;2497
"124";2015;"MUNICIPIO";"4306056";7750;7280;3686;3594;1691;3693;1896;838;1812;944
"125";2015;"MUNICIPIO";"4306072";2917;2826;1441;1385;619;1403;804;299;688;398
"126";2015;"MUNICIPIO";"4306106";63776;62821;29743;33078;13660;32676;16485;6718;16955;9405
"127";2015;"MUNICIPIO";"4306130";2096;2141;1101;1040;367;1080;694;182;512;NA
"128";2015;"MUNICIPIO";"4306205";12169;12320;6157;6163;2340;6416;3564;1135;3169;NA
"129";2015;"MUNICIPIO";"4306304";4840;4683;2410;2273;878;2448;1357;401;1184;NA
