"";"CODMUNRES";"ANO";"NIVEL";"TO";"TORC";"TORCR";"TO_N";"TO_NN";"TO_CB_C";"TO_CB_N";"TO_CB_O";"TO_CB_R";"TO_CB_I";"TO_M";"TO_F";"TO_F_IF";"TO_FT";"TO_NT";"TO_NT_T";"TO_NT_P";"TO_PNT";"TO_MT_G";"TONT_B";"TONT_PT";"TONT_PD";"TONT_I";"TONT_A"
"430";432050;2015;"MUNICIPIO";56;0;0;55;1;19;5;27;4;1;28;28;3;NA;NA;NA;NA;56;NA;NA;NA;NA;NA;NA
"431";432055;2015;"MUNICIPIO";46;0;0;46;0;12;10;18;4;2;31;15;NA;NA;NA;NA;NA;46;NA;NA;NA;NA;NA;NA
"432";432057;2015;"MUNICIPIO";14;0;0;14;0;2;1;10;1;0;10;4;NA;NA;NA;NA;NA;14;NA;NA;NA;NA;NA;NA
"433";432060;2015;"MUNICIPIO";25;0;0;24;1;3;2;16;4;0;12;13;1;NA;NA;NA;NA;25;NA;NA;NA;NA;NA;NA
"434";432065;2015;"MUNICIPIO";24;0;0;23;1;8;5;9;2;0;12;12;NA;NA;NA;NA;NA;24;NA;NA;NA;NA;NA;NA
"435";432067;2015;"MUNICIPIO";76;0;0;72;4;21;11;37;7;0;39;37;2;NA;NA;NA;NA;76;NA;NA;NA;NA;NA;NA
"436";432070;2015;"MUNICIPIO";124;0;0;122;2;36;17;53;18;0;76;48;3;NA;1;1;0;123;NA;0;0;1;0;0
"437";432080;2015;"MUNICIPIO";239;0;0;235;4;67;29;106;35;2;129;110;9;NA;2;1;1;237;NA;0;0;1;0;0
"438";432085;2015;"MUNICIPIO";29;0;0;29;0;9;3;11;6;0;16;13;NA;NA;1;1;0;28;NA;1;0;0;0;0
"439";432090;2015;"MUNICIPIO";145;0;0;140;5;33;19;75;17;1;81;64;9;NA;4;4;0;141;NA;4;0;0;0;0
"440";432100;2015;"MUNICIPIO";67;0;0;66;1;14;9;34;10;0;33;34;4;NA;NA;NA;NA;67;NA;NA;NA;NA;NA;NA
"441";432110;2015;"MUNICIPIO";143;0;0;139;4;36;10;75;16;6;79;64;5;NA;1;1;0;142;NA;1;0;0;0;0
"442";432120;2015;"MUNICIPIO";448;0;0;441;7;143;39;186;70;10;251;197;18;NA;NA;NA;NA;448;NA;NA;NA;NA;NA;NA
"443";432130;2015;"MUNICIPIO";225;0;0;221;4;59;27;96;39;4;126;98;7;NA;3;3;0;222;NA;3;0;0;0;0
"444";432132;2015;"MUNICIPIO";25;0;0;25;0;9;4;8;3;1;14;11;1;NA;NA;NA;NA;25;NA;NA;NA;NA;NA;NA
"445";432135;2015;"MUNICIPIO";48;0;0;47;1;13;7;25;3;0;23;25;2;NA;NA;NA;NA;48;NA;NA;NA;NA;NA;NA
