"";"ANO";"NIVEL";"CODMUNRES";"IDHM_A";"IDHM_CA";"IDHM_CA_F";"IDHM_CA_M"
"186";2015;"MUNICIPIO";"4309209";0;0,758;0;0
"187";2015;"MUNICIPIO";"4309258";0;0,73;0;0
"188";2015;"MUNICIPIO";"4309308";0;0,765;0;0
"189";2015;"MUNICIPIO";"4309407";0;0,737;0;0
"190";2015;"MUNICIPIO";"4309506";0;0,749;0;0
"191";2015;"MUNICIPIO";"4309555";0;0,687;0;0
"192";2015;"MUNICIPIO";"4309571";0;0,616;0;0
"193";2015;"MUNICIPIO";"4309605";0;0,783;0;0
"194";2015;"MUNICIPIO";"4309654";0;0,643;0;0
"195";2015;"MUNICIPIO";"4309704";0;0,738;0;0
"196";2015;"MUNICIPIO";"4309753";0;0,652;0;0
"197";2015;"MUNICIPIO";"4309803";0;0,739;0;0
"198";2015;"MUNICIPIO";"4309902";0;0,724;0;0
"199";2015;"MUNICIPIO";"4309951";0;0,638;0;0
"200";2015;"MUNICIPIO";"4310009";0;0,765;0;0
"201";2015;"MUNICIPIO";"4310108";0;0,721;0;0
"202";2015;"MUNICIPIO";"4310207";0;0,781;0;0
"203";2015;"MUNICIPIO";"4310306";0;0,73;0;0
"204";2015;"MUNICIPIO";"4310330";0;0,764;0;0
"205";2015;"MUNICIPIO";"4310363";0;0,743;0;0
"206";2015;"MUNICIPIO";"4310405";0;0,693;0;0
"207";2015;"MUNICIPIO";"4310413";0;0,673;0;0
"208";2015;"MUNICIPIO";"4310439";0;0,728;0;0
"209";2015;"MUNICIPIO";"4310462";0;0,791;0;0
"210";2015;"MUNICIPIO";"4310504";0;0,691;0;0
"211";2015;"MUNICIPIO";"4310538";0;0,76;0;0
"212";2015;"MUNICIPIO";"4310553";0;0,657;0;0
"213";2015;"MUNICIPIO";"4310579";0;0,664;0;0
"214";2015;"MUNICIPIO";"4310603";0;0,713;0;0
"215";2015;"MUNICIPIO";"4310652";0;0,669;0;0
"216";2015;"MUNICIPIO";"4310702";0;0,681;0;0
"217";2015;"MUNICIPIO";"4310751";0;0,724;0;0
"218";2015;"MUNICIPIO";"4310801";0;0,784;0;0
"219";2015;"MUNICIPIO";"4310850";0;0,658;0;0
"220";2015;"MUNICIPIO";"4310876";0;0,662;0;0
"221";2015;"MUNICIPIO";"4310900";0;0,726;0;0
"222";2015;"MUNICIPIO";"4311007";0;0,707;0;0
"223";2015;"MUNICIPIO";"4311106";0;0,712;0;0
"224";2015;"MUNICIPIO";"4311122";0;0,614;0;0
"225";2015;"MUNICIPIO";"4311130";0;0,631;0;0
"226";2015;"MUNICIPIO";"4311155";0;0,686;0;0
"227";2015;"MUNICIPIO";"4311205";0;0,716;0;0
"228";2015;"MUNICIPIO";"4311239";0;0,67;0;0
"229";2015;"MUNICIPIO";"4311254";0;0,789;0;0
"230";2015;"MUNICIPIO";"4311270";0;0,738;0;0
"231";2015;"MUNICIPIO";"4311304";0;0,643;0;0
"232";2015;"MUNICIPIO";"4311403";0;0,778;0;0
"233";2015;"MUNICIPIO";"4311429";0;0,613;0;0
"234";2015;"MUNICIPIO";"4311502";0;0,699;0;0
"235";2015;"MUNICIPIO";"4311601";0;0,685;0;0
"236";2015;"MUNICIPIO";"4311627";0;0,712;0;0
"237";2015;"MUNICIPIO";"4311643";0;0,749;0;0
"238";2015;"MUNICIPIO";"4311700";0;0,684;0;0
"239";2015;"MUNICIPIO";"4311718";0;0,692;0;0
"240";2015;"MUNICIPIO";"4311734";0;0,649;0;0
"241";2015;"MUNICIPIO";"4311759";0;0,655;0;0
"242";2015;"MUNICIPIO";"4311775";0;0,682;0;0
"243";2015;"MUNICIPIO";"4311791";0;0,697;0;0
"244";2015;"MUNICIPIO";"4311809";0;0,774;0;0
"245";2015;"MUNICIPIO";"4311908";0;0,724;0;0
"246";2015;"MUNICIPIO";"4311981";0;0,701;0;0
"247";2015;"MUNICIPIO";"4312005";0;0,73;0;0
"248";2015;"MUNICIPIO";"4312054";0;0,687;0;0
"249";2015;"MUNICIPIO";"4312104";0;0,656;0;0
"250";2015;"MUNICIPIO";"4312138";0;0,727;0;0
"251";2015;"MUNICIPIO";"4312153";0;0,746;0;0
"252";2015;"MUNICIPIO";"4312179";0;0,717;0;0
"253";2015;"MUNICIPIO";"4312203";0;0,699;0;0
"254";2015;"MUNICIPIO";"4312252";0;0,681;0;0
"255";2015;"MUNICIPIO";"4312302";0;0,725;0;0
"256";2015;"MUNICIPIO";"4312351";0;0,764;0;0
"257";2015;"MUNICIPIO";"4312377";0;0,65;0;0
"258";2015;"MUNICIPIO";"4312385";0;0,752;0;0
"259";2015;"MUNICIPIO";"4312401";0;0,755;0;0
"260";2015;"MUNICIPIO";"4312427";0;0,714;0;0
"261";2015;"MUNICIPIO";"4312443";0;0,711;0;0
"262";2015;"MUNICIPIO";"4312450";0;0,702;0;0
"263";2015;"MUNICIPIO";"4312476";0;0,743;0;0
"264";2015;"MUNICIPIO";"4312500";0;0,664;0;0
"265";2015;"MUNICIPIO";"4312609";0;0,746;0;0
"266";2015;"MUNICIPIO";"4312617";0;0,702;0;0
"267";2015;"MUNICIPIO";"4312625";0;0,689;0;0
"268";2015;"MUNICIPIO";"4312658";0;0,765;0;0
"269";2015;"MUNICIPIO";"4312674";0;0,753;0;0
"270";2015;"MUNICIPIO";"4312708";0;0,702;0;0
"271";2015;"MUNICIPIO";"4312757";0;0,74;0;0
"272";2015;"MUNICIPIO";"4312807";0;0,785;0;0
"273";2015;"MUNICIPIO";"4312906";0;0,747;0;0
"274";2015;"MUNICIPIO";"4312955";0;0,768;0;0
"275";2015;"MUNICIPIO";"4313003";0;0,778;0;0
"276";2015;"MUNICIPIO";"4313011";0;0,759;0;0
"277";2015;"MUNICIPIO";"4313037";0;0,735;0;0
"278";2015;"MUNICIPIO";"4313060";0;0,689;0;0
"279";2015;"MUNICIPIO";"4313086";0;0,761;0;0
"280";2015;"MUNICIPIO";"4313102";0;0,744;0;0
"281";2015;"MUNICIPIO";"4313201";0;0,78;0;0
"282";2015;"MUNICIPIO";"4313300";0;0,766;0;0
"283";2015;"MUNICIPIO";"4313334";0;0,742;0;0
"284";2015;"MUNICIPIO";"4313359";0;0,741;0;0
"285";2015;"MUNICIPIO";"4313375";0;0,718;0;0
"286";2015;"MUNICIPIO";"4313391";0;0,706;0;0
"287";2015;"MUNICIPIO";"4313409";0;0,688;0;0
"288";2015;"MUNICIPIO";"4313425";0;0,747;0;0
"289";2015;"MUNICIPIO";"4313441";0;0,663;0;0
"290";2015;"MUNICIPIO";"4313466";0;0,676;0;0
"291";2015;"MUNICIPIO";"4313490";0;0,767;0;0
"292";2015;"MUNICIPIO";"4313508";0;0,751;0;0
"293";2015;"MUNICIPIO";"4313607";0;0,706;0;0
"294";2015;"MUNICIPIO";"4313656";0;0,715;0;0
"295";2015;"MUNICIPIO";"4313706";0;0,737;0;0
"296";2015;"MUNICIPIO";"4313805";0;0,72;0;0
"297";2015;"MUNICIPIO";"4313904";0;0,761;0;0
"298";2015;"MUNICIPIO";"4313953";0;0,661;0;0
"299";2015;"MUNICIPIO";"4314001";0;0,773;0;0
"300";2015;"MUNICIPIO";"4314027";0;0,676;0;0
"301";2015;"MUNICIPIO";"4314035";0;0,749;0;0
"302";2015;"MUNICIPIO";"4314050";0;0,704;0;0
"303";2015;"MUNICIPIO";"4314068";0;0,622;0;0
"304";2015;"MUNICIPIO";"4314076";0;0,698;0;0
"305";2015;"MUNICIPIO";"4314100";0;0,776;0;0
"306";2015;"MUNICIPIO";"4314134";0;0,71;0;0
"307";2015;"MUNICIPIO";"4314159";0;0,683;0;0
"308";2015;"MUNICIPIO";"4314175";0;0,64;0;0
"309";2015;"MUNICIPIO";"4314209";0;0,678;0;0
"310";2015;"MUNICIPIO";"4314308";0;0,741;0;0
"311";2015;"MUNICIPIO";"4314407";0;0,739;0;0
"312";2015;"MUNICIPIO";"4314423";0;0,758;0;0
"313";2015;"MUNICIPIO";"4314456";0;0,72;0;0
"314";2015;"MUNICIPIO";"4314464";0;0,65;0;0
"315";2015;"MUNICIPIO";"4314472";0;0,678;0;0
"316";2015;"MUNICIPIO";"4314498";0;0,71;0;0
"317";2015;"MUNICIPIO";"4314506";0;0,661;0;0
"318";2015;"MUNICIPIO";"4314555";0;0,669;0;0
"319";2015;"MUNICIPIO";"4314605";0;0,658;0;0
"320";2015;"MUNICIPIO";"4314704";0;0,687;0;0
"321";2015;"MUNICIPIO";"4314753";0;0,744;0;0
"322";2015;"MUNICIPIO";"4314779";0;0,725;0;0
"323";2015;"MUNICIPIO";"4314787";0;0,725;0;0
"324";2015;"MUNICIPIO";"4314803";0;0,713;0;0
"325";2015;"MUNICIPIO";"4314902";0;0,805;0;0
"326";2015;"MUNICIPIO";"4315008";0;0,693;0;0
"327";2015;"MUNICIPIO";"4315057";0;0,698;0;0
"328";2015;"MUNICIPIO";"4315073";0;0,69;0;0
"329";2015;"MUNICIPIO";"4315107";0;0,723;0;0
"330";2015;"MUNICIPIO";"4315131";0;0,715;0;0
"331";2015;"MUNICIPIO";"4315149";0;0,757;0;0
"332";2015;"MUNICIPIO";"4315156";0;0,683;0;0
"333";2015;"MUNICIPIO";"4315172";0;0,733;0;0
"334";2015;"MUNICIPIO";"4315206";0;0,715;0;0
"335";2015;"MUNICIPIO";"4315305";0;0,704;0;0
"336";2015;"MUNICIPIO";"4315313";0;0,689;0;0
"337";2015;"MUNICIPIO";"4315321";0;0,665;0;0
"338";2015;"MUNICIPIO";"4315354";0;0,756;0;0
"339";2015;"MUNICIPIO";"4315404";0;0,631;0;0
"340";2015;"MUNICIPIO";"4315453";0;0,731;0;0
"341";2015;"MUNICIPIO";"4315503";0;0,683;0;0
"342";2015;"MUNICIPIO";"4315552";0;0,656;0;0
"343";2015;"MUNICIPIO";"4315602";0;0,744;0;0
"344";2015;"MUNICIPIO";"4315701";0;0,693;0;0
"345";2015;"MUNICIPIO";"4315750";0;0,661;0;0
"346";2015;"MUNICIPIO";"4315800";0;0,729;0;0
"347";2015;"MUNICIPIO";"4315909";0;0,732;0;0
"348";2015;"MUNICIPIO";"4315958";0;0,689;0;0
"349";2015;"MUNICIPIO";"4316006";0;0,688;0;0
"350";2015;"MUNICIPIO";"4316105";0;0,724;0;0
"351";2015;"MUNICIPIO";"4316204";0;0,764;0;0
"352";2015;"MUNICIPIO";"4316303";0;0,688;0;0
"353";2015;"MUNICIPIO";"4316402";0;0,699;0;0
"354";2015;"MUNICIPIO";"4316428";0;0,678;0;0
"355";2015;"MUNICIPIO";"4316436";0;0,762;0;0
"356";2015;"MUNICIPIO";"4316451";0;0,687;0;0
"357";2015;"MUNICIPIO";"4316477";0;0,753;0;0
"358";2015;"MUNICIPIO";"4316501";0;0,74;0;0
"359";2015;"MUNICIPIO";"4316600";0;0,747;0;0
"360";2015;"MUNICIPIO";"4316709";0;0,727;0;0
"361";2015;"MUNICIPIO";"4316733";0;0,725;0;0
"362";2015;"MUNICIPIO";"4316758";0;0,725;0;0
"363";2015;"MUNICIPIO";"4316808";0;0,74;0;0
"364";2015;"MUNICIPIO";"4316907";0;0,773;0;0
"365";2015;"MUNICIPIO";"4316956";0;0,663;0;0
"366";2015;"MUNICIPIO";"4316972";0;0,784;0;0
"367";2015;"MUNICIPIO";"4317004";0;0,676;0;0
"368";2015;"MUNICIPIO";"4317103";0;0,769;0;0
"369";2015;"MUNICIPIO";"4317202";0;0,746;0;0
"370";2015;"MUNICIPIO";"4317251";0;0,712;0;0
"371";2015;"MUNICIPIO";"4317301";0;0,633;0;0
"372";2015;"MUNICIPIO";"4317400";0;0,766;0;0
"373";2015;"MUNICIPIO";"4317509";0;0,772;0;0
"374";2015;"MUNICIPIO";"4317558";0;0,717;0;0
"375";2015;"MUNICIPIO";"4317608";0;0,686;0;0
"376";2015;"MUNICIPIO";"4317707";0;0,764;0;0
"377";2015;"MUNICIPIO";"4317756";0;0,759;0;0
"378";2015;"MUNICIPIO";"4317806";0;0,739;0;0
"379";2015;"MUNICIPIO";"4317905";0;0,738;0;0
"380";2015;"MUNICIPIO";"4317954";0;0,732;0;0
"381";2015;"MUNICIPIO";"4318002";0;0,736;0;0
"382";2015;"MUNICIPIO";"4318051";0;0,763;0;0
"383";2015;"MUNICIPIO";"4318101";0;0,675;0;0
"384";2015;"MUNICIPIO";"4318200";0;0,685;0;0
"385";2015;"MUNICIPIO";"4318309";0;0,699;0;0
"386";2015;"MUNICIPIO";"4318408";0;0,696;0;0
"387";2015;"MUNICIPIO";"4318424";0;0,694;0;0
"388";2015;"MUNICIPIO";"4318432";0;0,748;0;0
"389";2015;"MUNICIPIO";"4318440";0;0,732;0;0
"390";2015;"MUNICIPIO";"4318457";0;0,651;0;0
"391";2015;"MUNICIPIO";"4318465";0;0,717;0;0
"392";2015;"MUNICIPIO";"4318481";0;0,707;0;0
"393";2015;"MUNICIPIO";"4318499";0;0,747;0;0
"394";2015;"MUNICIPIO";"4318507";0;0,623;0;0
"395";2015;"MUNICIPIO";"4318606";0;0,755;0;0
"396";2015;"MUNICIPIO";"4318614";0;0,725;0;0
"397";2015;"MUNICIPIO";"4318622";0;0,663;0;0
"398";2015;"MUNICIPIO";"4318705";0;0,739;0;0
"399";2015;"MUNICIPIO";"4318804";0;0,687;0;0
"400";2015;"MUNICIPIO";"4318903";0;0,741;0;0
"401";2015;"MUNICIPIO";"4319000";0;0,768;0;0
"402";2015;"MUNICIPIO";"4319109";0;0,726;0;0
"403";2015;"MUNICIPIO";"4319125";0;0,652;0;0
"404";2015;"MUNICIPIO";"4319158";0;0,667;0;0
"405";2015;"MUNICIPIO";"4319208";0;0,645;0;0
"406";2015;"MUNICIPIO";"4319307";0;0,692;0;0
"407";2015;"MUNICIPIO";"4319356";0;0,739;0;0
"408";2015;"MUNICIPIO";"4319364";0;0,664;0;0
"409";2015;"MUNICIPIO";"4319372";0;0,763;0;0
"410";2015;"MUNICIPIO";"4319406";0;0,709;0;0
"411";2015;"MUNICIPIO";"4319505";0;0,739;0;0
"412";2015;"MUNICIPIO";"4319604";0;0,708;0;0
"413";2015;"MUNICIPIO";"4319703";0;0,72;0;0
"414";2015;"MUNICIPIO";"4319711";0;0,764;0;0
"415";2015;"MUNICIPIO";"4319737";0;0,642;0;0
"416";2015;"MUNICIPIO";"4319752";0;0,754;0;0
"417";2015;"MUNICIPIO";"4319802";0;0,685;0;0
"418";2015;"MUNICIPIO";"4319901";0;0,711;0;0
"419";2015;"MUNICIPIO";"4320008";0;0,726;0;0
"420";2015;"MUNICIPIO";"4320107";0;0,777;0;0
"421";2015;"MUNICIPIO";"4320206";0;0,723;0;0
"422";2015;"MUNICIPIO";"4320230";0;0,712;0;0
"423";2015;"MUNICIPIO";"4320263";0;0,659;0;0
"424";2015;"MUNICIPIO";"4320305";0;0,777;0;0
"425";2015;"MUNICIPIO";"4320321";0;0,693;0;0
"426";2015;"MUNICIPIO";"4320354";0;0,671;0;0
"427";2015;"MUNICIPIO";"4320404";0;0,76;0;0
"428";2015;"MUNICIPIO";"4320453";0;0,652;0;0
