"";"ANO";"NIVEL";"CODMUNRES";"POPR_RA";"POPR_RE"
"230";"2015";"MUNICIPIO";"431127";"1.939";"6.48"
"231";"2015";"MUNICIPIO";"431130";"26.521";"0"
"232";"2015";"MUNICIPIO";"431140";"74.528";"825"
"233";"2015";"MUNICIPIO";"431142";"0";"0"
"234";"2015";"MUNICIPIO";"431150";"5.976";"0"
"235";"2015";"MUNICIPIO";"431160";"1.717";"0"
"236";"2015";"MUNICIPIO";"431162";"0";"0"
"237";"2015";"MUNICIPIO";"431164";"1.703";"0"
"238";"2015";"MUNICIPIO";"431170";"1.519";"0"
"239";"2015";"MUNICIPIO";"431171";"3.676";"0"
"240";"2015";"MUNICIPIO";"431173";"2.86";"2.36"
"241";"2015";"MUNICIPIO";"431175";"5.522";"0"
"242";"2015";"MUNICIPIO";"431177";"3.652";"0"
"243";"2015";"MUNICIPIO";"431179";"0";"0"
"244";"2015";"MUNICIPIO";"431180";"32.671";"0"
"245";"2015";"MUNICIPIO";"431190";"2.992";"0"
"246";"2015";"MUNICIPIO";"431198";"674";"0"
"247";"2015";"MUNICIPIO";"431200";"1.267";"0"
"248";"2015";"MUNICIPIO";"431205";"1.275";"0"
"249";"2015";"MUNICIPIO";"431210";"2.469";"0"
"250";"2015";"MUNICIPIO";"431213";"0";"0"
"251";"2015";"MUNICIPIO";"431215";"4.201";"0"
"252";"2015";"MUNICIPIO";"431217";"1.798";"0"
"253";"2015";"MUNICIPIO";"431220";"3.116";"0"
"254";"2015";"MUNICIPIO";"431225";"8.011";"7.984"
"255";"2015";"MUNICIPIO";"431230";"2.999";"0"
"256";"2015";"MUNICIPIO";"431235";"1.556";"0"
"257";"2015";"MUNICIPIO";"431237";"0";"0"
"258";"2015";"MUNICIPIO";"431238";"2.704";"780"
"259";"2015";"MUNICIPIO";"431240";"54.139";"0"
"260";"2015";"MUNICIPIO";"431242";"0";"0"
"261";"2015";"MUNICIPIO";"431244";"0";"0"
"262";"2015";"MUNICIPIO";"431245";"2.228";"2.1"
"263";"2015";"MUNICIPIO";"431247";"3.559";"6"
"264";"2015";"MUNICIPIO";"431250";"1.957";"0"
"265";"2015";"MUNICIPIO";"431260";"4.195";"500"
"266";"2015";"MUNICIPIO";"431261";"967";"300"
"267";"2015";"MUNICIPIO";"431262";"520";"0"
"268";"2015";"MUNICIPIO";"431265";"15.805";"0"
"269";"2015";"MUNICIPIO";"431267";"1.726";"0"
"270";"2015";"MUNICIPIO";"431270";"10.607";"0"
"271";"2015";"MUNICIPIO";"431275";"3.431";"0"
"272";"2015";"MUNICIPIO";"431280";"3.903";"0"
"273";"2015";"MUNICIPIO";"431290";"6.178";"0"
"274";"2015";"MUNICIPIO";"431295";"1.953";"0"
"275";"2015";"MUNICIPIO";"431300";"1.637";"0"
"276";"2015";"MUNICIPIO";"431301";"2.814";"0"
"277";"2015";"MUNICIPIO";"431303";"3.998";"0"
"278";"2015";"MUNICIPIO";"431306";"0";"0"
"279";"2015";"MUNICIPIO";"431308";"2.557";"0"
"280";"2015";"MUNICIPIO";"431310";"3.3";"0"
"281";"2015";"MUNICIPIO";"431320";"15.39";"0"
"282";"2015";"MUNICIPIO";"431330";"22.83";"0"
"283";"2015";"MUNICIPIO";"431333";"2.44";"0"
"284";"2015";"MUNICIPIO";"431335";"1.655";"0"
"285";"2015";"MUNICIPIO";"431337";"11.097";"0"
"286";"2015";"MUNICIPIO";"431339";"4.008";"0"
"287";"2015";"MUNICIPIO";"431340";"3.132";"618"
"288";"2015";"MUNICIPIO";"431342";"235.482";"12.493"
"289";"2015";"MUNICIPIO";"431344";"1.785";"0"
"290";"2015";"MUNICIPIO";"431346";"2.32";"0"
"291";"2015";"MUNICIPIO";"431349";"1.795";"0"
"292";"2015";"MUNICIPIO";"431350";"33.81";"192"
"293";"2015";"MUNICIPIO";"431360";"2.519";"0"
"294";"2015";"MUNICIPIO";"431365";"3.128";"0"
"295";"2015";"MUNICIPIO";"431370";"32.59";"0"
"296";"2015";"MUNICIPIO";"431380";"5.636";"0"
"297";"2015";"MUNICIPIO";"431390";"39.211";"0"
"298";"2015";"MUNICIPIO";"431395";"7.922";"8.345"
"299";"2015";"MUNICIPIO";"431400";"4.907";"0"
"300";"2015";"MUNICIPIO";"431402";"6.24";"0"
"301";"2015";"MUNICIPIO";"431403";"3.511";"0"
"302";"2015";"MUNICIPIO";"431405";"25.914";"0"
"303";"2015";"MUNICIPIO";"431406";"785";"0"
"304";"2015";"MUNICIPIO";"431407";"4.824";"0"
"305";"2015";"MUNICIPIO";"431410";"196.739";"49.184"
"306";"2015";"MUNICIPIO";"431413";"2.219";"0"
"307";"2015";"MUNICIPIO";"431415";"1.76";"0"
"308";"2015";"MUNICIPIO";"431417";"811";"0"
"309";"2015";"MUNICIPIO";"431420";"7.787";"0"
"310";"2015";"MUNICIPIO";"431430";"2.984";"0"
"311";"2015";"MUNICIPIO";"431440";"323.638";"203.861"
"312";"2015";"MUNICIPIO";"431442";"4.856";"0"
"313";"2015";"MUNICIPIO";"431445";"2.525";"515"
"314";"2015";"MUNICIPIO";"431446";"2.126";"0"
"315";"2015";"MUNICIPIO";"431447";"0";"0"
"316";"2015";"MUNICIPIO";"431449";"1.875";"0"
"317";"2015";"MUNICIPIO";"431450";"9.863";"9.784"
"318";"2015";"MUNICIPIO";"431454";"1.195";"0"
"319";"2015";"MUNICIPIO";"431455";"2.671";"0"
"320";"2015";"MUNICIPIO";"431460";"11.973";"0"
"321";"2015";"MUNICIPIO";"431470";"7.594";"0"
"322";"2015";"MUNICIPIO";"431475";"2.104";"0"
"323";"2015";"MUNICIPIO";"431477";"0";"0"
"324";"2015";"MUNICIPIO";"431478";"1.73";"165"
"325";"2015";"MUNICIPIO";"431480";"12.985";"0"
"326";"2015";"MUNICIPIO";"431490";"0";"0"
"327";"2015";"MUNICIPIO";"431500";"2.598";"0"
"328";"2015";"MUNICIPIO";"431505";"2.503";"0"
"329";"2015";"MUNICIPIO";"431507";"1.733";"347"
"330";"2015";"MUNICIPIO";"431510";"5.585";"0"
"331";"2015";"MUNICIPIO";"431513";"0";"0"
"332";"2015";"MUNICIPIO";"431514";"2.657";"0"
"333";"2015";"MUNICIPIO";"431515";"1.937";"0"
"334";"2015";"MUNICIPIO";"431517";"0";"0"
"335";"2015";"MUNICIPIO";"431520";"1.97";"0"
"336";"2015";"MUNICIPIO";"431530";"22.384";"2.741"
"337";"2015";"MUNICIPIO";"431531";"935";"935"
"338";"2015";"MUNICIPIO";"431532";"2.812";"0"
"339";"2015";"MUNICIPIO";"431535";"3.811";"0"
"340";"2015";"MUNICIPIO";"431540";"3.346";"0"
"341";"2015";"MUNICIPIO";"431545";"2.06";"0"
"342";"2015";"MUNICIPIO";"431550";"9.919";"0"
"343";"2015";"MUNICIPIO";"431555";"749";"0"
"344";"2015";"MUNICIPIO";"431560";"194.654";"54.216"
"345";"2015";"MUNICIPIO";"431570";"27.659";"26.529"
"346";"2015";"MUNICIPIO";"431575";"2.268";"0"
"347";"2015";"MUNICIPIO";"431580";"5.956";"10.976"
"348";"2015";"MUNICIPIO";"431590";"4.554";"0"
"349";"2015";"MUNICIPIO";"431595";"2.542";"0"
"350";"2015";"MUNICIPIO";"431600";"10.695";"0"
"351";"2015";"MUNICIPIO";"431610";"6.518";"0"
"352";"2015";"MUNICIPIO";"431620";"2.689";"1.2"
"353";"2015";"MUNICIPIO";"431630";"0";"0"
"354";"2015";"MUNICIPIO";"431640";"33.439";"4.537"
"355";"2015";"MUNICIPIO";"431642";"0";"0"
"356";"2015";"MUNICIPIO";"431643";"2.869";"0"
"357";"2015";"MUNICIPIO";"431645";"10.517";"4.083"
"358";"2015";"MUNICIPIO";"431647";"2.762";"0"
"359";"2015";"MUNICIPIO";"431650";"4.815";"0"
"360";"2015";"MUNICIPIO";"431660";"12.41";"0"
"361";"2015";"MUNICIPIO";"431670";"7.406";"0"
"362";"2015";"MUNICIPIO";"431673";"0";"0"
"363";"2015";"MUNICIPIO";"431675";"6.141";"0"
"364";"2015";"MUNICIPIO";"431680";"124.74";"13.97"
"365";"2015";"MUNICIPIO";"431690";"530";"0"
"366";"2015";"MUNICIPIO";"431695";"276.108";"151.541"
"367";"2015";"MUNICIPIO";"431697";"2.228";"0"
"368";"2015";"MUNICIPIO";"431700";"4.25";"3.81"
"369";"2015";"MUNICIPIO";"431710";"82.968";"27.239"
"370";"2015";"MUNICIPIO";"431720";"68.296";"12.958"
"371";"2015";"MUNICIPIO";"431725";"1.781";"1.781"
"372";"2015";"MUNICIPIO";"431730";"26.808";"0"
"373";"2015";"MUNICIPIO";"431740";"47.45";"0"
"374";"2015";"MUNICIPIO";"431750";"75.261";"11.313"
"375";"2015";"MUNICIPIO";"431755";"23.991";"0"
"376";"2015";"MUNICIPIO";"431760";"6.583";"0"
"377";"2015";"MUNICIPIO";"431770";"0";"0"
"378";"2015";"MUNICIPIO";"431775";"1.9";"0"
"379";"2015";"MUNICIPIO";"431780";"12.704";"0"
"380";"2015";"MUNICIPIO";"431790";"8.495";"0"
"381";"2015";"MUNICIPIO";"431795";"1.154";"0"
"382";"2015";"MUNICIPIO";"431800";"54.129";"10.635"
"383";"2015";"MUNICIPIO";"431805";"3.056";"0"
"384";"2015";"MUNICIPIO";"431810";"14.628";"968"
"385";"2015";"MUNICIPIO";"431820";"14.937";"0"
"386";"2015";"MUNICIPIO";"431830";"55.875";"10.902"
"387";"2015";"MUNICIPIO";"431840";"18.192";"0"
"388";"2015";"MUNICIPIO";"431842";"2.482";"0"
"389";"2015";"MUNICIPIO";"431843";"1.364";"1.364"
"390";"2015";"MUNICIPIO";"431844";"1.528";"0"
"391";"2015";"MUNICIPIO";"431845";"1.9";"0"
"392";"2015";"MUNICIPIO";"431846";"994";"0"
"393";"2015";"MUNICIPIO";"431848";"4.435";"0"
"394";"2015";"MUNICIPIO";"431849";"1.056";"0"
"395";"2015";"MUNICIPIO";"431850";"13.877";"0"
"396";"2015";"MUNICIPIO";"431860";"4.569";"0"
"397";"2015";"MUNICIPIO";"431861";"1.649";"3.47"
"398";"2015";"MUNICIPIO";"431862";"1.883";"0"
"399";"2015";"MUNICIPIO";"431870";"225.938";"41.945"
"400";"2015";"MUNICIPIO";"431880";"27.258";"0"
"401";"2015";"MUNICIPIO";"431890";"29.252";"0"
"402";"2015";"MUNICIPIO";"431900";"18.278";"21.204"
"403";"2015";"MUNICIPIO";"431910";"4.018";"0"
"404";"2015";"MUNICIPIO";"431912";"0";"0"
"405";"2015";"MUNICIPIO";"431915";"3.849";"0"
"406";"2015";"MUNICIPIO";"431920";"3.589";"0"
"407";"2015";"MUNICIPIO";"431930";"6.348";"0"
"408";"2015";"MUNICIPIO";"431935";"2.105";"0"
"409";"2015";"MUNICIPIO";"431936";"0";"0"
"410";"2015";"MUNICIPIO";"431937";"2.983";"0"
"411";"2015";"MUNICIPIO";"431940";"12.224";"12.235"
"412";"2015";"MUNICIPIO";"431950";"16.671";"0"
"413";"2015";"MUNICIPIO";"431960";"18.855";"24"
"414";"2015";"MUNICIPIO";"431970";"2.009";"0"
"415";"2015";"MUNICIPIO";"431971";"2.257";"0"
"416";"2015";"MUNICIPIO";"431973";"2.752";"0"
"417";"2015";"MUNICIPIO";"431975";"2";"0"
"418";"2015";"MUNICIPIO";"431980";"6.274";"8.787"
"419";"2015";"MUNICIPIO";"431990";"54.14";"0"
"420";"2015";"MUNICIPIO";"432000";"138.357";"6.616"
"421";"2015";"MUNICIPIO";"432010";"19.699";"0"
"422";"2015";"MUNICIPIO";"432020";"11.042";"0"
"423";"2015";"MUNICIPIO";"432023";"1.857";"0"
"424";"2015";"MUNICIPIO";"432026";"1.86";"1.86"
"425";"2015";"MUNICIPIO";"432030";"3.062";"0"
"426";"2015";"MUNICIPIO";"432032";"2.885";"0"
"427";"2015";"MUNICIPIO";"432035";"1.273";"0"
"428";"2015";"MUNICIPIO";"432040";"15.226";"0"
"429";"2015";"MUNICIPIO";"432045";"2.18";"0"
"430";"2015";"MUNICIPIO";"432050";"3.646";"0"
"431";"2015";"MUNICIPIO";"432055";"1.034";"0"
"432";"2015";"MUNICIPIO";"432057";"2.089";"0"
"433";"2015";"MUNICIPIO";"432060";"1.39";"0"
"434";"2015";"MUNICIPIO";"432065";"1.544";"0"
"435";"2015";"MUNICIPIO";"432067";"5.824";"0"
"436";"2015";"MUNICIPIO";"432070";"12.594";"0"
"437";"2015";"MUNICIPIO";"432080";"27.303";"0"
"438";"2015";"MUNICIPIO";"432085";"0";"0"
"439";"2015";"MUNICIPIO";"432090";"20.992";"0"
"440";"2015";"MUNICIPIO";"432100";"9.313";"503"
"441";"2015";"MUNICIPIO";"432110";"13.745";"105"
"442";"2015";"MUNICIPIO";"432120";"35.929";"0"
"443";"2015";"MUNICIPIO";"432130";"25.032";"0"
"444";"2015";"MUNICIPIO";"432132";"1.411";"0"
"445";"2015";"MUNICIPIO";"432135";"835";"0"
"446";"2015";"MUNICIPIO";"432140";"8.89";"0"
"447";"2015";"MUNICIPIO";"432143";"3.539";"0"
"448";"2015";"MUNICIPIO";"432145";"28";"0"
"449";"2015";"MUNICIPIO";"432146";"2.912";"0"
"450";"2015";"MUNICIPIO";"432147";"1.523";"0"
"451";"2015";"MUNICIPIO";"432149";"1.999";"0"
"452";"2015";"MUNICIPIO";"432150";"36.12";"19.217"
"453";"2015";"MUNICIPIO";"432160";"46.369";"12.155"
"454";"2015";"MUNICIPIO";"432162";"0";"0"
"455";"2015";"MUNICIPIO";"432163";"2.873";"0"
"456";"2015";"MUNICIPIO";"432166";"2.604";"0"
"457";"2015";"MUNICIPIO";"432170";"17.038";"0"
"458";"2015";"MUNICIPIO";"432180";"20.232";"0"
"459";"2015";"MUNICIPIO";"432183";"695";"685"
"460";"2015";"MUNICIPIO";"432185";"0";"0"
"461";"2015";"MUNICIPIO";"432190";"22.098";"199"
"462";"2015";"MUNICIPIO";"432195";"3.612";"0"
